character,dialogue
Fotoğrafçı," Peki o zaman neden gelini, damadı ve nedimeleri görmüyoruz."
Phoebe," Tamam.  Hey Mon, neden adamlara hamile olmadığını söyledin?"
Monica, Çünkü değilim.
Phoebe," Testini çöp kutusunda bulduk, eğer hamile değilsen——Çünkü ben hamileyim."
Chandler, Ne?! Ne hakkında konuşuyorsun?
Monica, Ne hakkında konuşuyorsun?
Phoebe," Evet, ben... hamileyim.  Ve hiçbir şey söylemek istemedim çünkü senin günün; senin şöhretini çalmak istemedim."
Monica, Bir dakika! Yani insanlara hamile olduğumu mu söyledin?!  Bu hatırlamak isteyeceğim bir sohbete benziyor mu?!
Chandler, Babası kim?
Monica, Evet!
Phoebe, Söyleyemem.
Monica, Neden?!
Chandler, Neden olmasın?
Phoebe, Söyleyemem çünkü o ünlü.
Rachel," Aman Tanrım, kim o?!"
Monica," Phoebe, hadi ama, bize söylemelisin."
Phoebe," Tamam, tamam. James Brolin. James Brolin bebeğimin babası."
Chandler, Barbara Streisand'ın kocası James Brolin mi?
Phoebe, Ne?! Bana hiç böyle bir şey söylemedi! Fotoğrafçı: Monica'nın çekilmesini ve Chandler ile nedimeleri almamızı söyleyelim.
Phoebe, Sadece nedimeleri nasıl seçeriz?
Chandler," Damat olduğumu biliyorsun, değil mi? Bana bunun büyük bir olay olduğu söylendi."
Phoebe, Öyle.
Rachel, Senin için.
Phoebe, Aman Tanrım!
Rachel," Ah, bunu yaptığın için teşekkür ederim. Henüz bununla başa çıkamam."
Phoebe, Bunun yerine bana Monica'nın hamile olduğunu söyledin.
Rachel," Öyle olduğunu söyledin, sadece seninle aynı fikirde değildim."
Phoebe, Sinsi.
Rachel, Ah evet.
Fotoğrafçı, Gülümseyin hanımlar.
Rachel, Ah!  Bu arada?
Phoebe, Uh-hmm.
Rachel, James Brolin?
Phoebe," Ah, biliyorum. Sadece iki isim düşünebiliyordum, o ve Ed Begley Jr. ve sonra onun eşcinsel olduğunu hatırladım."
Rachel, Ed Begley Jr. eşcinsel değil.
Phoebe,  Gerçekten mi?!
Orkestra şefi," Çok teşekkür ederim! Bayanlar ve baylar, size ilk kez Bay ve Bayan Chandler Bing'i tanıtmaktan büyük mutluluk duyuyorum!"
Chandler, Dışarı çıkmadan önce sana bir hediyem var.
Monica," Tatlım, elimi cebine koyacağım!"
Chandler, Hayır mı?
Monica, Hayır.
Chandler, Dans dersleri alıyorum.
Monica, Ne?!
Chandler," Evet, son altı haftadır. Bunun asla unutamayacağın bir an olmasını istedim."
Monica," Ah, bu çok tatlı!"
Chandler, Ne olmuş yani? Karı koca olarak ilk dansımıza benimle birlikte katılmak ister misiniz?
Monica, Evet.
Monica, Sorun ne?
Chandler," Bilmiyorum, bu yeni ayakkabılar, hepsi kaygan."
Monica," Peki, bunu yapabilecek misin?"
Chandler, Pek iyi değil.
Monica," İyi haber şu ki, sanırım kimse bize bakmıyor."
Phoebe," Peki, konuşmaya hazır mısın?"
Rachel, Hayır.
Phoebe, Şimdi mi?
Rachel, Hayır!
Phoebe," Tamam, o zaman başka bir şey hakkında konuşalım."
Rachel, Teşekkür ederim.
Phoebe, Baba kim?!
Rachel," Ugh! Bak tatlım biliyor musun? Ona henüz söylemedim, bu yüzden söyleyene kadar başkasına söylememem gerektiğini düşünüyorum."
Phoebe, Evet. Sorun değil. Bu adil. Tag mi?
Rachel, Phoebe!!
Phoebe," Tamam, özür dilerim. Duracağım."
Rachel, Tamam.
Phoebe," Ross mu? Ross değil mi? Aman Tanrım, Joey bu!"
Rachel," Tatlım, bırak! Ona söyleyene kadar sana söylemeyeceğim."
Phoebe, Ah-hah! En azından onun bir erkek olduğunu biliyoruz.
Monica,  Aman Tanrım.
Joey," Özür dilerim! Tamam mı? Hediyelik eşya dükkanına indim ve ya bu ya da bir bornoz! Bak, hangisi daha önemli, giyiniş tarzım mı yoksa özel gününde seninle olmam mı?"
Monica," Tatlım, dinliyormuş gibi bile davranmayacağım.  Hey! Hey!"
Ross," Merhaba. Ben şey, ben Ross. Tanıştığımızı sanmıyorum. Ben Monica'nın ağabeyiyim."
Kadın," Ah merhaba, ben, ben restoranından Mona."
Ross," Ah! Merhaba şey, restoranından Mona.   Mona, vay canına ne güzel bir isim."
Mona, Öyle mi düşünüyorsun? Ben her zaman nefret etmişimdir.
Ross," Hadi canım, Mona Lisa?"
Mona, Uh-huh.
Ross," Mona şey... Clickclocken. Ünlü botanikçi mi? Ha? Ah hayır o şey—şimdi öldü. Hayır, sözde bir zamanlar bitki dünyasının en yakışıklısıymış."
Mona," Gerçekten mi?! Peki, gördün mü? Onu hiç bilmiyordum."
Ross," Linda Clickclocken.  Peki, ne, ne-hangi masada oturuyorsun?  Ah, ah ben de."
Mona," Ah, iyi. Şimdi orada ismimi seven biri olacak."
Ross,"  Evet olacak.  Ah, tahmin et ne oldu, Molly Gilbert, az önce birinci masaya geçtin. Ve senin için uygunsa altıncı masadaki yerini alacağım—Martin Clickclocken."
Joey," Bu daha iyi, şimdi kollarını biraz daha bük. İşte oldu. Tamam, düz bak. Şimdi bu sefer gerçekten kıçını sokmanı istiyorum."
Bayan Bing," Chandler canım! Bak, randevum sonunda geldi. Dennis Phillips ile tanışmanı istiyorum."
Dennis Phillips, Tebrikler.
Chandler, Teşekkür ederim.
Bayan Bing, Dennis çok yakın eski bir dost ve harika bir sevgili.
Chandler," Bravo Dennis, annemi bu kadar memnun ettiğin için teşekkürler."
Dennis Phillips," Ah, töreni kaçırdığım için çok üzgünüm, seçmelerde takılıp kalmıştım."
Bayan Bing," Ah evet, Dennis yeni bir Broadway gösterisi yönetiyor."
Joey," Sanırım tanışmadık, Joey Tribbiani."
Dennis Phillips, Dennis Phillips
Joey," Vay canına, yıllardır çalışmalarına hayranım. Sen-sen gerçekten harika şeyler yaptın."
Dennis Phillips," Ah, teşekkür ederim. Eğer izin verirsen, gidip kendime bir içki alacağım. Hemen dönerim."
Joey, Vay canına Dennis Phillips! Harika! Nasıl tanıştınız?
Bayan Bing," Şey, komik bir hikaye."
Chandler, Komik: ha-ha veya komik:
Orkestra şefi," Teşekkür ederim, çok teşekkür ederim. Herkes lütfen yerlerine otursun, akşam yemeği servis edilecek."
Ross," Hey! Şey, ben senin altıncı masada olduğunu sanıyordum."
Joey, Hey! Dennis'le benim hakkımda konuştun mu?
Chandler," Evet, ona ne kadar yetenekli olduğunu söyledim. Ona Days Of Our Lives'ı anlattım."
Joey, Hayır-hayır! Hayır! Hayır! Bir Broadway adamına bunu söyleyemezsin! Şimdi beni sadece bir pembe dizi oyuncusu sanıyor.
Chandler, Ama sen sadece bir pembe dizi oyuncusu değilsin. Sen acayip derecede küçük ayaklara sahip bir pembe dizi oyuncususun.
Joey, Hey!
Küçük Kız, Teşekkür ederim.
Ross," Hayır-hayır, teşekkür ederim Miranda."
Küçük Kız, Melinda!
Ross, Tamam.
Mona, Ne kadar da tatlıydı?
Ross," Oh-oh, izliyor muydun, izliyor muydun?"
İkinci Kız, Sırada ben olabilir miyim?
Ross, Ne? Elbette gidebilirsin! Atla!
Mona," Tamam, ama ben ondan sonra atlayacağım."
Ross, Kesinlikle gol atacağım.
İkinci Kız, Ne?
Ross, Yayını beğendim.
Joey,"  Bir kadeh kaldırmak istiyorum. Dünyanın en harika çifti olan Monica ve Chandler'a. Ve en iyi arkadaşlarıma. Şimdi, ilk evlendiklerini öğrendiğimde, biraz sinirliydim. Şöyleydim,  ""Neden Tanrım? Neden? Onları benden nasıl alabilirsin?!"" Ama sonra birlikte geçirdiğimiz tüm anıları düşündüm, bazı mutlu anılar.  Ve-ve bazı üzücü anılar vardı.  Üzgünüm. Ve-ve bazı korkutucu anılar—Vay canına!  Eh? Ve sonra, ve sonra her zaman onların arkadaşı olacağımı fark ettim, birçok lehçede konuşabilen, sahne dövüşü eğitimi almış ve kısmen çıplaklık yapmaya istekli arkadaşları.  Oh! Mutlu çifte!"
Grup lideri, Teşekkür ederim.
Ross,  Çok güzeldi Ashley.
Ashley, Tekrar yapabilir miyiz?
Ross, Hayır-hayır.
Mona," Peki, şimdi sıra bende mi?"
Şişman Kız, Sırada ben varım!
Ross, Oh!
Mona," Ee, sorun değil. Önce onunla dans edebilirsin."
Ross," Ah, emin misin?  Tamam.  Tamam. Peki, şey, şey, adın ne?"
Şişman Kız, Gert!
Ross, Çok güzel.  Vay canına! Vay canına! Vay canına! Ne yapıyorsun orada Gert?
Gert, Ayaklarının üzerinde dans ediyorsun! Diğer kızların yaptığı gibi.
Ross, Tamam.  Gert'e atlar.
Gert, Neden ayaklarını hareket ettirmiyorsun?
Ross, Deniyorum.
Gert, Daha hızlı! Yeterince hızlı gitmiyorsun!
Ross, Belki de ayaklarının üzerine basmalıyım!
Joey," Peki, orada benim tostumu yakaladın mı?"
Dennis Phillips," Aman Tanrım, bu benim yararıma mıydı?"
Joey," Şey, bence herkes için bir şeyler vardı. Bak, bu yeni şov için oyuncu seçtiğini biliyorum..."
Dennis Phillips," Bak, şey Joey, bence bu proje için pek uygun değilsin."
Joey," Ah, işte burada yanılıyorsun. Ne olursa olsun yapabilirim. Ve eğer orada görmediysen, sadece-sadece dene."
Dennis Phillips, Tamamen Çinlilerden oluşan bir kadro. Çinli olabilir misin?
Joey, Bununla gurur duymuyorum ama...
Dennis Phillips, Aman Tanrım! Hayır-hayır-hayır! Lütfen! Lütfen! Yapma-yapma-yapma!
Monica," Hey, dans pistine geri dönmeye hazır mısın?"
Chandler, Kum mu oldu?
Monica," Ah, hadi ama, bu şarkıyı seviyorum! Hadi ama, iyi olacaksın."
Chandler,"  Hayır. Hayır, yapmayacağım. Neden tüm o dersleri aldığımı biliyor musun? Bak, ilk defa beceriksiz bir aptalla dans pistinde görülmekten utanmanı istemedim."
Monica," Ah tatlım, beni asla utandıramazsın.  Tamam, beni kolayca utandırabilirsin. Ama hadi ama, önemli değil. Tamam mı? Seninle evlendim! Bu yüzden düğün gecemde kocamla dans etmek istiyorum. Hadi ama.  Sadece ayaklarını hiç hareket ettirmemeye çalış.  İşte oldu."
Bay Geller," Chandler, seni tutuklatacağım."
Chandler, Neden?
Bay Geller, Hareketlerimi çaldın.
Rachel, Ne kadar daha?
Phoebe, 30 saniye.
Rachel," 30 saniye, tamam."
Monica,"  Kaçırdım mı?  Rachel, şunu bilmeni isterim ki, eğer pozitif çıkarsa, biz..."
Rachel," Ah, biliyorum. Biliyorum."
Phoebe, Zamanı geldi.
Kızlar, Hayır!!
Monica, Hadi Rach.
Rachel," Ah bekle! Biliyor musun? Bakamam, bakamam. Bakamam. Başka biri bana söylesin, biri bana söylesin."
Phoebe, Tamam.
Rachel, Tamam.
Phoebe," Eee, olumsuz."
Rachel, Ne?
Phoebe, Olumsuz.
Rachel," Oh. Oh. İşte oldu. Vay canına!  Bu harika, bu gerçekten harika-harika bir haber.  Bilirsin işte, çünkü hazır olmamak ve bir nevi finansal yönler, hepsi bu. Vay canına. Vay canına, tam da olması gerektiği gibi olmuş.  Tanrım."
Monica," Şey... Şey, harika."
Phoebe, Al.
Rachel, Teşekkürler.  Tanrım bu çok aptalca!  Hiç sahip olmadığım bir şey için nasıl üzülebilirim? Olumsuz mu?
Phoebe," Hayır, olumlu."
Rachel, Ne?!
Phoebe," Olumsuz değil, olumlu."
Rachel, Emin misin?
Phoebe," Evet, daha önce yalan söyledim."
Rachel, Oh!
Monica, Aman Tanrım...
Phoebe, Şimdi bunun hakkında gerçekten ne hissettiğini biliyorsun.
Rachel," Oh-oh, bu riskli küçük bir oyun!"
Monica, Bunu gerçekten yapacak mısın?
Rachel, Evet. Bir bebeğim olacak. Bir bebeğim olacak. Bir bebeğim olacak!
Phoebe, Kiminle?
Rachel," Ah, hala zamanı değil."
Ross, Sadece hızlı şarkının geldiğini göremedim.
Joey," Şşş. Şşş. Konuşmaya çalışma, seni odana çıkaracağız, ayaklarını ıslatacağız, iyi olacaksın."
Ross," Ah, teşekkür ederim."
Mona, Çok tatlı!
Joey, Evet.
Mona," Hayır, ciddiyim. Gerçekten çok az iyi adam var."
Joey," Bana anlat, sanki kaleyi tek başıma savunuyormuşum gibi hissediyorum."
Mona," Joey, değil mi?"
Joey, Evet.
Ross, Bir dakika! Hayır! Ben iyi olanım! Bütün gece çocuklarla dans eden benim! Nasıl... Ayakların ne kadar küçük?!
Rachel," Dinleyin efendim, biliyor musunuz? Son kez, bilgisayarın ne söylediği umurumda değil, mini bardan bir torba Mashuga fıstığı almadık ve Dr. Do-Me-A-Little'ı izlemedik!"
Joey,  Hey!
Phoebe," Oh! Joey, dün gece odamızda mıydın?"
Joey, Hayır.  Bana filmin adının faturada görünmeyeceği söylendi!
Chandler,  Merhaba! Gelin süitinden çıkış yapıyoruz.
Monica,"  Doğru. Artık gelin değilim. Bir daha asla gelin olmayacağım. Şimdi, sadece birinin karısıyım!"
Chandler," Ve ben dünyanın en mutlu adamıyım!  Ah tatlım, hadi ama üzülme. Hala dört gözle bekleyeceğimiz çok şey var!"
Monica," Ah evet, doğru."
Chandler, Balayımız var.
Monica, Perşembeye kadar değil.
Chandler, Düğün fotoğrafları mı?
Monica, Haftalarca hazır olmayacaklar.
Chandler, Masalardaki tek kullanımlık kameralar değil.
Monica, Doğru!  Seninle evlenmemin bir sebebi olduğunu biliyordum!
Chandler," Sana ne diyeyim, gidip onları banyo ettireceğim ve sen eve gidebilirsin."
Monica, Tamam.
Chandler, Ne? Neyin fotoğrafını çektin?
Joey, Hiçbir şey! Bir şeydi.
Chandler," Tamam, Ross kameraları aldı, kontrol etti mi?"
Rachel, Şaka mı yapıyorsun? Çıkış saati öğlene kadar ve  on bir dakikası daha var.
Chandler, Oh.
Monica," Ross, bir odadan çıkması gerekenden bir dakika önce hiç çıkmamıştır."
Rachel," Evet, bir keresinde, sevgiliyken, şey, geç çıkış yaptık, o kadar heyecanlandı ki, hayatımızdaki en iyi seksti. Ta ki, sonunda Radisson diye bağırana kadar."
Chandler," Tamam, peki Ross'u alacağım, kameraları alacağım ve banyo ettireceğim.  32 yaşındasın Joe. 32 yaşındasın!"
Resepsiyon Görevlisi,  İşte faturanın bir kopyası.
Monica," Oh, teşekkürler.  Şampanya, çilek... Aman Tanrım! Chandler'ın düğün gecemizde porno sipariş ettiğine inanamıyorum!"
Joey," Evet, bu üzücü. Mashuga cevizi?"
Ross, Merhaba.
Chandler, Hey.  Sabunlar? Şampuanlar? Gerçekten tüm bunları mı alıyorsun?
Ross, Neden olmasın? Odanın fiyatına dahil.
Chandler, Evet ama buna ihtiyacın yok——Bu ne?
Ross, Konu!
Chandler, Puan! Tek kullanımlık kameralar nerede?
Ross, Hangi tek kullanımlık kameralar?
Chandler, Kameralar mı? Dün gece sana onları almanı söylediğimi hatırlıyor musun?
Ross," Hayır, almadın."
Chandler, Evet! Hatırladın mı? Pastayı kesmeden hemen önce yanına gittim ve dedim ki...
Ross," Oh-oh evet, sen-sen yanıma gelip sana bir iyilik yapıp yapamayacağımı sordun ve Amcam Murray yanına gelip sana bir çek uzattı. Ve sonra dedin ki, ""Neden buna çek diyorlar? Neden Yugoslavya değil?""  Evet, sonra bunu yaptın."
Chandler, Yani kameralarınız yok mu?!
Ross, Hayır. Üzgünüm dostum.
Chandler, Ne? Ne? Gittiler! Monica çıldıracak!
Ross, Eminim hala otelin bir yerlerindedirler. Onları aramana yardım edeceğim.
Chandler, Harika.
Ross, Üç dakika içinde.
Phoebe, Hey!
Monica, Hey!
Phoebe, Chandler olmadan hediyeleri mi açacaksın?
Monica," Hayır!  Ama bana sesleniyorlar! Yani bu küçük adam  kucağıma bile tırmandı. Hadi canım, Chandler sadece bir hediye açsam aldırmazdı! Sence bu ne?"
Phoebe, İçine baktığında kendini yaşlı bir kadın olarak gördüğün küçük bir ayna.
Monica, Küçük bir tuzluk!!!
Phoebe, Aman Tanrım! Küçük tuz için!
Monica," Vay canına! Tamam. Eh, bu eğlenceliydi."
Phoebe, Ah evet.
Monica," Güzel. Tamam, Chandler'ın geri kalanını açmasını bekleyeceğim."
Phoebe, Tamam.
Monica," Vay canına. Bilirsin, bu bir tuz ve biber setinin parçası. Yani... Sanırım bunun yarım bir hediye olarak sayılabileceğini biliyorsun. Ne düşünüyorsun?"
Phoebe," Sanırım bir setin parçasıysa bir tane daha açmak sorun olmaz. Bilirsin, muhtemelen bu."
Monica, Ya da bu!
Rachel,  Merhaba.
Monica," Hey, nasılsın? Sabah bulantısı var mı?"
Rachel," Şşşşşşş! Çocuklar henüz bilmiyor, değil mi?"
Monica, Hayır! Joey ve Ross hiçbir şey bilmiyor ve Chandler hala Phoebe'nin hamile olduğunu düşünüyor.
Phoebe," Evet, doğru Chandler hala hamile olduğumu düşünüyor. Bana nasıl hissettiğimi sormadı veya çantalarımı taşımayı teklif etmedi. Aman Tanrım, onunla birlikte olan kadına acıyorum.  Tabii ki senden sonra."
Rachel," Endişelenme, sadece birkaç saat daha hamile kalman gerekeceğine söz veriyorum, çünkü bugün babaya söyleyeceğim."
Phoebe," Ooh, bu binada biri mi var? Birinci kattaki o uzun boylu adam mı?"
Rachel, İyy! Hayır!
Phoebe, Ne?! Bence çok tatlı.
Rachel, O zaman bebeğini doğurmuş olursun.
Phoebe," İnan bana, deniyorum."
Monica," Vay canına. Çok garip olduğunu biliyorsun. Yani, bugün bu adama söyleyeceksin ve ne olacağı hakkında hiçbir fikri olmayacak."
Phoebe, Evet. Sadece kapısını çalacaksın ve hayatını sonsuza dek değiştireceksin. Ed McMahon gibisin ama büyük çek veya ham cinsel çekim olmadan.
Rachel," Evet. Uh-huh, sanırım oldukça büyük bir haber."
Phoebe," Oldukça büyük mü? Çok büyük! Tanrım, bu adam hiçbir şey bilmiyor! Sokakta yürürken 'Rachel Green ile seks yaptım. Harikayım!' diye düşünüyor sonra pat! O bir baba ve her şey farklı."
Rachel," Eh, sadece o isterse farklı olur. Yani, ondan hiçbir şey istemeyeceğim."
Phoebe, Tamam. O zaman hala vermesi gereken bu büyük karar var. Şimdi etrafta dolaşıp 'Baba olmak istiyor muyum?' diye düşünüyor ve sonra pat!
Monica, O neydi bam?
Phoebe, İstemiyorum. O... he-he-he-o bir otobüse çarptı.
Joey,  Hey!
Rachel," Hey Joey, birlikte olduğun biri sana hamile olduğunu söylese ne yapardın?"
Joey,  Kim aradı? Sarışın gibi mi konuşuyordu? Ha? Aksanı mı vardı? Bir telefon görüşmesi yapmam gerek!  O Sunglass Hut'a asla girmemeliydim!
Rachel," Aman Joey! Joey! Hayır, sen değilsin! Sen kimseyi hamile bırakmadın!"
Joey, Aman. Beni neden böyle korkutuyorsun? Ne oluyor?  Hamile biri mi var?
Phoebe, Ah evet. O benim.
Joey, Aman Tanrım Pheebs! Bir bebeğin mi olacak?
Phoebe," Evet. Evet, öyleyim. Aman Tanrım, bir bebeğim olacak!"
Joey," Vay, bir dakika bekle. Babası kim?"
Phoebe, Onu tanımıyorsun. Önemli değil. Benimle veya bebekle hiçbir ilgisi yok.
Joey, Peki bu adam kim?! Ha? Kim o? Çünkü onu takip edip kıçına tekmeyi basacağım!
Phoebe, David Lynn.
Joey, David Lynn! David Lynn! David Lynn!!
Monica, David Lynn kim?
Phoebe," Ah, spor salonumdan bir adam. Biraz can sıkıcı."
Ross, Chandler?
Chandler, Hey! Kameraları buldun mu?
Ross, Hayır. Sen mi yaptın?
Chandler, Evet! Ve bu yüzden masanın altındayım. Kutluyorum.
Ross," Şey, kayıp eşya bürosuna gittim, müdürle konuştum, kimse onları çevirmemiş."
Chandler," Bu harika. Biliyor musun, o kameralar bugün Monica'yı neşelendirecek tek şeydi, gerçekten depresif."
Ross," Şimdi siz yeni evlendiniz, neden bu kadar depresif?"
Chandler, Tüm enerjimi o soruyu sormamaya harcıyorum. Bunu mahvettiğime inanamıyorum!
Ross, Üzgünüm dostum.  Şöyle bir düşünce var. Burası aynı balo salonu. Bir grup var. Çok sayıda giyinmiş insan olacak.
Chandler, Sorunlarımızı dans ederek mi atlatacağımızı öneriyorsun?
Ross," Hayır-hayır-hayır, hediyelik eşya dükkanından daha fazlasını  satın alacağımızı, smokinlerimizi tekrar giyeceğimizi ve birkaç fotoğraf çekeceğimizi söylüyorum. Tek yapmamız gereken başka kimsenin yüzünü almamaya dikkat etmek."
Chandler, Ciddi misin?
Ross, Sadece evdeki yeni gelinini düşünüyorum. Tamam mı? Gerçekten onu hayal kırıklığına uğratarak birlikte hayatınıza başlamak istiyor musun?
Chandler, Evlilik tavsiyesi mi? Gerçekten mi?!
Ross," Sana söylüyorum, bu tam olarak senin düğünün gibi görünüyor! Bunlar aynı çiçekler değil mi?"
Chandler," Bilmiyorum, çiçekleri Monica seçti."
Ross, Peki ya sandalyeler?
Chandler, Onları da o seçti.
Ross, Peki ya sofra düzenlemeleri?
Chandler, O oydu.
Ross, Ne yaptın?
Chandler, Kameralardan ben sorumluydum! Hediyelik eşya dükkanı mı?
Ross, Hmm.
Phoebe," Hey! Ooh, yaptın mı?"
Rachel, Henüz değil.
Phoebe," Ah, peki burada ne yapıyorsun? Yapacak mısın?  Gunther mi?"
Rachel," Hayır! Phoebe, Gunther değil."
Phoebe," Tanrıya şükür, çünkü bir bebeğin üzerindeki o saç..."
Rachel, Baba Phoebe burada değil tamam mı? Ona henüz söylemedim ve sanırım şimdi hiç söyleyemem!
Phoebe, Neden olmasın?
Rachel," Bilmiyorum, düşüneyim. Sokakta yürürken 'Bugün babaya söyleyeceğim' diye düşünüyordum ve sonra pat!"
Phoebe, Otobüs mü?
Rachel," Hayır, sen! Phoebe, beni korkuttun. Bunun ne kadar büyük olduğunu söyleyip duruyordun!"
Phoebe, Eh-eh ama çok büyük.
Rachel, Biliyorum ama ben sadece bunun benim için ne kadar büyük olduğunu düşünüyordum. Baba için ne kadar büyük olacağını bile düşünmedim.
Phoebe," Bunu çok fazla düşünüyorsun. Ona söyle ve bitir. Bu, bu Band-Aid'i sökmek gibi.  Çabuk ve acısız, bak.  Ah, anne... Gördün mü?"
Joey,  Ooh-ooh-ooh! Hediyeleri mi açıyoruz?
Monica," Hayır! Hayır! Bunları hiç açmamalıydım! Yani ben-Joey, kontrolden çıktım!! Joey, bana bir iyilik yapmalısın. Ne dersem diyeyim, ne yaparsam yapayım, lütfen bir hediye daha açmama izin verme! Tamam mı?"
Joey, Tamam.
Monica, Bana bir tane daha ver.
Joey, Tamam.
Phoebe,  Hey.
Joey," Oh iyi, uh sen buradasın. Uh Pheebs? Dinle uh otur. Söylemek istediğim bir şey var."
Phoebe, Tamam.
Joey," Umm, şimdi uh... Dışarıda korkutucu bir dünya var, özellikle de bekar bir anne için. Biliyor musun, ben seninle aramızda özel bir bağ olduğunu hep düşünmüşümdür bu yüzden...  Phoebe Buffay, benimle evlenir misin?"
Monica, Aman Tanrım! Joey!
Phoebe, Kesinlikle! Seninle evlenirim!
Monica, Onunla evlenemezsin!
Phoebe," Hey hanım, günün bitti! Sıra bende!"
Monica, Phoebe!
Joey, Neden?! Neden benimle evlenemiyor?!
Phoebe, Evlenebilirim ve evleneceğim!
Monica, Hamile değil. Rachel. Hamile olan Rachel.
Joey, Aman Tanrım.
Phoebe, Hey!
Monica," Phoebe, dokuz ay içinde bebeğin olmasaydı fark ederdi sanırım!"
Phoebe, Joey!
Joey,  Şimdi inanamıyorum! Ne? Rachel hamile mi?  Babası kim?
Phoebe, Bilmiyoruz.
Joey, Ohh... Acaba o adam mı?
Monica, Bir adam mı var?
Joey, Evet.
Phoebe, Kim? Kim o?
Joey," Yaklaşık bir ay önce bu adam geceyi Rachel'la geçirdi, kim olduğunu görmedim ama..."
Phoebe, O hikaye bitti mi?
Joey, Adam bunu bırakmış.
Phoebe,  Aman Tanrım! Babanın kim olduğunu biliyorum...
Monica, İnsanlar hikayelerini bitirmeli!
Chandler,"  Şey, özür dilerim? Bizim bir fotoğrafımızı çekebilir misiniz?"
Düğündeki Kadın, Ah! Elbette.
Düğündeki Adam," Şey, bizden birini çeker misin?"
Chandler," Şey... Evet, tabii.  Tık!"
Düğündeki Kadın, Anlamadım.
Ross, Duydum. Duydum.
Düğündeki Adam, Ama flaş yoktu.
Düğündeki Kadın, Neden fotoğrafımızı çekmiyorsun?
Chandler," Ah evet. Çekerim, çekerim senin fotoğrafını."
Düğündeki Adam," Uh, parmağın lensi kapatıyordu."
Chandler, Sen kimsin? Ansel Adams mı?! Defol git buradan!
Phoebe," Bak, seni daha önce nasıl korkuttuğum için kendimi çok kötü hissediyorum, bu yüzden babayı aradım ve seninle burada buluşmasını istedim, böylece ona söyleyebilirsin. Hadi!"
Rachel," Ne? Hey, bir dakika bekle! Phoebe, babanın kim olduğunu nereden biliyorsun?"
Phoebe, Bazen aptalı oynuyor olabilirim ama ben kıçını bırakmayan güzel sarışın bir kızdan biraz daha fazlasıyım.  Bunun bebeğinin babasına ait olduğuna inanıyorum.
Rachel," Aman Tanrım... Ah, şu anda orada mı?"
Phoebe, Evet. Şimdi arkanı dönebilirsin ya da içeri girip Band-Aid'i sökebilirsin. Ne yapmak istiyorsun?
Rachel, Hadi gidelim!
Phoebe, Gerçekten mi? Emin misin?
Rachel, Ah Phoebe!
Phoebe," Tamam, özür dilerim. Evet."
Etiket, Hey Rach.
Chandler, Sahneye çık. Konuşmanı yaparken bir fotoğrafını çekeceğim.
Ross, Tamam. Tamam!
Ross, 1995 Buick LeSabre'nin sahibi lütfen resepsiyona bakabilir mi? Arabanız çekilecek.
Endişeli Düğün Konuğu,  Bu benim arabam!
Ross, 95 LeSabre mi?!
Endişeli Düğün Konuğu, Evet!
Ross, Yeşil LeSabre mi?
Endişeli Düğün Konuğu, Evet!
Ross," Özür dilerim, mavi LeSabre demek istemiştim."
Endişeli Düğün Konuğu, Evet! Yeşil-mavi!
Ross, Hadi! Hadi koş!
Chandler," Tamam, son fotoğraf için hazır mısın?"
Ross, Evet.
Chandler, Koşmaya hazır ol.  Düğünün kutlu olsun.
Etiket," Peki, bu ne hakkında?"
Phoebe," Rachel'ın sana söylemek istediği bir şey var ve şey, sanırım bu senin kırmızı kazağının."
Etiket, Hayır.  Bu benim kırmızı kazağım.
Phoebe, Ah hayır. Birine kahve veya... zehir getirebilir miyim? Hayır? Sadece benim için mi? Tamam.
Etiket, Neler oluyor Rach?
Rachel," Hiçbir şey! Phoebe bir hata yaptı. Ama bilirsin, o kazağı çok giyiyorsun, bir tür meydan okumaya mı karıştın?"
Etiket," Biliyor musun, aslında Phoebe'nin aramasına sevindim.  Ayrılmamızın sebebinin yeterince olgun olmadığımı düşünmen olduğunu biliyorum ama ben gerçekten büyüdüm ve tekrar bir araya gelmemiz gerektiğini düşünüyorum."
Rachel," Ah, doğru zaman değil."
Etiket, Doğru zaman.
Phoebe, Kim? Kim o?
Joey," Yaklaşık bir ay önce bu adam geceyi Rachel'la yakaladı, kim olduğunu topladı ama...  Phoebe: O hikaye bitti mi?"
Joey, Adam bunu bırakmış.
Phoebe,  Aman Tanrım! Babanın kim olduğunu biliyor...  Monica: İnsanların hikayelerini bitiriyor!
Chandler,"  Şey, özür dilerim? Bizim bir fotoğrafımızı sürdürebilir misiniz?"
Düğündeki Kadın," Ah! Elbette.  Düğündeki Adam: Şey, bizden birini mi çekiyor?"
Chandler," Şey... Evet, elbette.  Tık!"
Düğündeki Kadın, Anlamadım.
Ross, Duydum. Duydum.
Düğündeki Adam, Ama ışıklar yoktu.
Düğündeki Kadın, Neden fotoğrafımızı çekiyorsun?
Chandler," Ah evet. Çekerim, çekerim senin fotoğrafını.  Düğündeki Adam: Uh, parmağın lensi kapatıyordu."
Chandler, Sen kimsin? Ansel Adams mı?! Defol git buraya!
Phoebe," Bak, seni daha önce nasıl korkuttuğum için paranın çok kötü paraları, bu yüzden babayı kurmak ve burada buluşmasını istedim, böylece ona söyleyebilirsin. Hadi!"
